Date,ADRO.JK,AKRA.JK,ANTM.JK,ASII.JK,BRPT.JK,BSDE.JK,BTPS.JK,CPIN.JK,CTRA.JK,ERAA.JK,EXCL.JK,ICBP.JK,INCO.JK,INDF.JK,INDY.JK,INTP.JK,ITMG.JK,JPFA.JK,JSMR.JK,KLBF.JK,LPPF.JK,PTBA.JK,PTPP.JK,SCMA.JK,SMGR.JK,TLKM.JK,UNTR.JK,UNVR.JK,WIKA.JK,WSBP.JK
2001-02-02,,,,3.5096623897552486,,,,,59.657569885253906,,,411.2150268554688,,679.91845703125,,1088.281982421875,,,,,,,,,,,291.30810546875,,,
2001-02-05,,,,3.831973791122437,,,,,59.657569885253906,,,429.90673828125,,710.8237915039062,,1035.623046875,,,,,,,,,,,285.3016662597656,,,
2001-02-06,,,,3.68872332572937,,,,,57.44807434082031,,,411.2150268554688,,679.91845703125,,930.3056030273438,,55.88041687011719,,,,,,,,,279.29544067382807,,,
2001-02-07,,,,3.5454745292663574,,,,,57.44807434082031,,,373.8319091796875,,618.1076049804688,,877.646728515625,,51.02125549316406,,,,,,,,,282.298828125,,,
2001-02-08,,,,3.4380366802215576,,,,,57.44807434082031,,,383.17767333984375,,633.560302734375,,877.646728515625,,,,,,,,,,,282.298828125,,,
2001-02-09,,,,3.223161220550537,,,,,55.23847579956055,,,364.4861145019531,,602.6548461914062,,860.09375,,,,,,,,,,,276.2926025390625,,,
2001-02-12,,,,3.1157243251800537,,,,,55.23847579956055,,,373.8319091796875,,618.1076049804688,,860.09375,,,,,,,,,,,273.28909301757807,,,
2001-02-13,,,,3.079911470413208,,,,,53.02898025512695,,,373.8319091796875,,618.1076049804688,,860.09375,,,,,,,,,,,276.2926025390625,,,
2001-02-14,,,,3.008268117904663,,,,,53.02898025512695,,,373.8319091796875,,618.1076049804688,,877.646728515625,,,,,,,,,,,279.29544067382807,,,
2001-02-15,,,,3.25897479057312,,,,,53.02898025512695,,,392.52349853515625,,649.0130004882812,,860.09375,,,,,,,,,,,291.30810546875,,,
2001-02-16,,,,3.151536703109741,,,,,53.02898025512695,,,373.8319091796875,,618.1076049804688,,842.5408325195312,,,,,,,,,,,279.29544067382807,,,
2001-02-19,,,,3.151536703109741,,,,,53.02898025512695,,,373.8319091796875,,618.1076049804688,,860.09375,,,,,,,,,,,285.3016662597656,,,
2001-02-20,,,,3.187349796295166,,,,,53.02898025512695,,,364.4861145019531,,602.6548461914062,,860.09375,,,,,,,,,,,285.3016662597656,,,
2001-02-21,,,,3.223161220550537,,,,,55.23847579956055,,,383.17767333984375,,633.560302734375,,842.5408325195312,,51.02125549316406,,,,,,,,,288.3052062988281,,,
2001-02-22,,,,3.151536703109741,,,,,59.657569885253906,,,383.17767333984375,,633.560302734375,,842.5408325195312,,,,,,,,,,,285.3016662597656,,,
2001-02-23,,,,3.151536703109741,,,,,57.44807434082031,,,383.17767333984375,,633.560302734375,,842.5408325195312,,55.88041687011719,,,,,,,,,288.3052062988281,,,
2001-02-26,,,,3.0440993309021,,,,,55.23847579956055,,,364.4861145019531,,602.6548461914062,,842.5408325195312,,46.16209030151367,,,,,,,,,282.298828125,,,
2001-02-27,,,,3.0440993309021,,,,,57.44807434082031,,,364.4861145019531,,602.6548461914062,,842.5408325195312,,46.16209030151367,,,,,,,,,282.298828125,,,
2001-02-28,,,,2.936643362045288,,,,,55.23847579956055,,,345.79449462890625,,571.7494506835938,,824.9878540039062,,,,,,,,,,,276.2926025390625,,,
2001-03-01,,,,2.8650190830230717,,,,,53.02898025512695,,,336.44873046875,,556.2968139648439,,807.4349975585938,,43.73250198364258,,,,,,,,,273.28909301757807,,,
2001-03-02,,,,2.8292055130004883,,,,,57.44807434082031,,,336.44873046875,,556.2968139648439,,824.9878540039062,,,,,,,,,,,270.28619384765625,,,
2001-03-06,,,,2.8292055130004883,,,,,55.23847579956055,,,345.79449462890625,,571.7494506835938,,982.96435546875,,,,,,,,,,,270.28619384765625,,,
2001-03-07,,,,2.8292055130004883,,,,,57.44807434082031,,,345.79449462890625,,571.7494506835938,,912.75244140625,,,,,,,,,,,267.28277587890625,,,
2001-03-08,,,,2.793393611907959,,,,,55.23847579956055,,,345.79449462890625,,571.7494506835938,,877.646728515625,,,,,,,,,,,264.2799072265625,,,
2001-03-09,,,,2.650143384933472,,,,,53.02898025512695,,,336.44873046875,,556.2968139648439,,842.5408325195312,,,,,,,,,,,258.27359008789057,,,
2001-03-12,,,,2.3278305530548096,,,,,50.81938552856445,,,327.1029052734375,,540.8441162109375,,824.9878540039062,,,,,,,,,,,237.2510986328125,,,
2001-03-13,,,,2.041331052780152,,,,,50.81938552856445,,,308.41131591796875,,509.93878173828125,,842.5408325195312,,,,,,,,,,,225.2384033203125,,,
2001-03-15,,,,2.1129558086395264,,,,,50.81938552856445,,,317.7571105957031,,525.3914794921875,,824.9878540039062,,,,,,,,,,,231.24473571777344,,,
