"MTSM","MTSM.JK"," Metro Realty Tbk."
"MYOH","MYOH.JK"," Samindo Resources Tbk."
"MYOR","MYOR.JK"," Mayora Indah Tbk."
"MYRX","MYRX.JK"," Hanson International Tbk."
"NATO","NATO.JK"," Nusantara Properti Internasional Tbk."
"NELY","NELY.JK"," Pelayaran Nelly Dwi Putri Tbk."
"NFCX","NFCX.JK"," NFC Indonesia Tbk."
"NIRO","NIRO.JK"," City Retail Developments Tbk."
"NRCA","NRCA.JK"," Nusa Raya Cipta Tbk. "
"OASA","OASA.JK"," Protech Mitra Perkasa Tbk."
"OMRE","OMRE.JK"," Indonesia Prima Property Tbk."
"PALM","PALM.JK"," Provident Agro Tbk."
"PAMG","PAMG.JK"," Bima Sakti Pertiwi Tbk."
"PANI","PANI.JK","  Pratama Abadi Nusa Industri Tbk."
"PANR","PANR.JK"," Panorama Sentrawisata Tbk."
"PBID","PBID.JK"," Panca Budi Idaman Tbk."
"PBSA","PBSA.JK"," Paramita Bangun Sarana Tbk."
"PCAR","PCAR.JK"," Prima Cakrawala Abadi Tbk."
"PDES","PDES.JK"," Destinasi Tirta Nusantara Tbk."
"PGLI","PGLI.JK"," Pembangunan Graha Lestari Indah Tbk."
"PICO","PICO.JK"," Pelangi Indah Canindo Tbk."
"PJAA","PJAA.JK"," Pembangunan Jaya Ancol Tbk."
"PNBS","PNBS.JK"," Bank Panin Dubai Syariah Tbk."
"PNSE","PNSE.JK"," Pudjiadi & Sons Tbk."
"POLL","POLL.JK"," Pollux Pi'operti Indonesia Tbk."
"POLU","POLU.JK"," Golden Flower Tbk."
"PORT","PORT.JK"," Nusantara Pelabuhan Handal Tbk."
"POWR","POWR.JK"," Cikarang Listrindo Tbk."
"PPRE","PPRE.JK"," PP Presisi Tbk."
"PPRO","PPRO.JK"," PP Properti Tbk."
"PRDA","PRDA.JK"," Prodia Widyahusada Tbk."
"PRIM","PRIM.JK"," Royal Prima Tbk."
"PSAB","PSAB.JK"," J Resources Asia Pasifik Tbk."
"PSKT","PSKT.JK"," Red Planet Indonesia Tbk."
"PSSI","PSSI.JK"," Pelita Samudera Shipping Tbk."
"PTBA","PTBA.JK"," Bukit Asam Tbk."
"PTPP","PTPP.JK"," PP (Persero) Tbk."
"PTRO","PTRO.JK"," Petrosea Tbk."
"PTSN","PTSN.JK"," Sat Nusapersada Tbk."
"PTSP","PTSP.JK"," Pioneerindo Gourmet International Tbk."
"PUDP","PUDP.JK"," Pudjiadi Prestige Tbk."
"PWON","PWON.JK"," Pakuwon Jati Tbk."
"PYFA","PYFA.JK"," Pyridam Farma Tbk."
"PZZA","PZZA.JK"," Sarimelati Kencana Tbk."
"RAJA","RAJA.JK"," Rukun Raharja Tbk."
"RANC","RANC.JK"," Supra Boga Lestari Tbk."
"RBMS","RBMS.JK"," Ristia Bintang Mahkotasejati Tbk."
"RICY","RICY.JK"," Ricky Putra Globalindo Tbk."
"RIGS","RIGS.JK"," Rig Tenders Indonesia Tbk. "
"RIMO","RIMO.JK"," Rimo International Lestari Tbk."
"RISE","RISE.JK"," Jaya Sukses Makmur Sentosa Tbk."
